id,region_id,name
128,1,ILOCOS NORTE
129,1,ILOCOS SUR
133,1,LA UNION
155,1,PANGASINAN
209,2,BATANES
215,2,CAGAYAN
231,2,ISABELA
250,2,NUEVA VIZCAYA
257,2,QUIRINO
308,3,BATAAN
314,3,BULACAN
349,3,NUEVA ECIJA
354,3,PAMPANGA
369,3,TARLAC
371,3,ZAMBALES
377,3,AURORA
410,4,BATANGAS
421,4,CAVITE
434,4,LAGUNA
456,4,QUEZON
458,4,RIZAL
1740,17,MARINDUQUE
1751,17,OCCIDENTAL MINDORO
1752,17,ORIENTAL MINDORO
1753,17,PALAWAN
1759,17,ROMBLON
505,5,ALBAY
516,5,CAMARINES NORTE
517,5,CAMARINES SUR
520,5,CATANDUANES
541,5,MASBATE
562,5,SORSOGON
604,6,AKLAN
606,6,ANTIQUE
619,6,CAPIZ
630,6,ILOILO
645,6,NEGROS OCCIDENTAL
679,6,GUIMARAS
712,7,BOHOL
722,7,CEBU
746,7,NEGROS ORIENTAL
761,7,SIQUIJOR
826,8,EASTERN SAMAR
837,8,LEYTE
848,8,NORTHERN SAMAR
860,8,SAMAR (WESTERN SAMAR)
864,8,SOUTHERN LEYTE
878,8,BILIRAN
972,9,ZAMBOANGA DEL NORTE
973,9,ZAMBOANGA DEL SUR
983,9,ZAMBOANGA SIBUGAY
997,9,CITY OF ISABELA
1013,10,BUKIDNON
1018,10,CAMIGUIN
1035,10,LANAO DEL NORTE
1042,10,MISAMIS OCCIDENTAL
1043,10,MISAMIS ORIENTAL
1123,11,DAVAO DEL NORTE
1124,11,DAVAO DEL SUR
1125,11,DAVAO ORIENTAL
1182,11,COMPOSTELA VALLEY
1186,11,DAVAO OCCIDENTAL
1247,12,COTABATO (NORTH COTABATO)
1263,12,SOUTH COTABATO
1265,12,SULTAN KUDARAT
1280,12,SARANGANI
1298,12,COTABATO CITY
1339,13,CITY OF MANILA
1374,13,"NCR, SECOND DISTRICT"
1375,13,"NCR, THIRD DISTRICT"
1376,13,"NCR, FOURTH DISTRICT"
1401,14,ABRA
1411,14,BENGUET
1427,14,IFUGAO
1432,14,KALINGA
1444,14,MOUNTAIN PROVINCE
1481,14,APAYAO
1507,15,BASILAN
1536,15,LANAO DEL SUR
1538,15,MAGUINDANAO
1566,15,SULU
1570,15,TAWI-TAWI
1602,16,AGUSAN DEL NORTE
1603,16,AGUSAN DEL SUR
1667,16,SURIGAO DEL NORTE
1668,16,SURIGAO DEL SUR
1685,16,DINAGAT ISLANDS
